ALARM ID,0,,,,,
DATE,2023/4/27,12:13:16,,,,
,,,,,,
No,DATE,TIME,COUNT,STATUS,ALARM No,MESSAGE
0,2023/4/8,9:22:19,445,ON,4,首下位置不良
1,2023/4/8,9:21:47,960,ON,2,横穴未貫通異常
2,2023/4/7,17:42:29,920,ON,34,ワーク無し異常
3,2023/4/7,16:39:05,183,ON,3,ノッチ前進不良
4,2023/4/7,16:39:04,919,ON,34,ワーク無し異常
5,2023/4/7,12:29:48,918,ON,34,ワーク無し異常
6,2023/4/7,11:04:38,917,ON,34,ワーク無し異常
7,2023/4/7,10:51:47,444,ON,4,首下位置不良
8,2023/4/7,10:51:18,959,ON,2,横穴未貫通異常
9,2023/4/4,11:51:31,7,ON,32,非常停止PB検出
10,2023/4/4,11:51:16,6,ON,32,非常停止PB検出
11,2023/4/3,19:01:27,916,ON,34,ワーク無し異常
12,2023/4/3,18:49:21,915,ON,34,ワーク無し異常
13,2023/4/3,17:08:53,182,ON,3,ノッチ前進不良
14,2023/4/3,17:08:52,914,ON,34,ワーク無し異常
15,2023/4/3,16:43:14,913,ON,34,ワーク無し異常
16,2023/4/3,13:57:00,912,ON,34,ワーク無し異常
17,2023/4/3,12:37:06,911,ON,34,ワーク無し異常
18,2023/4/3,12:26:33,443,ON,4,首下位置不良
19,2023/4/3,11:40:38,442,ON,4,首下位置不良
20,2023/4/26,17:59:31,190,ON,3,ノッチ前進不良
21,2023/4/26,17:25:41,189,ON,3,ノッチ前進不良
22,2023/4/26,17:25:40,952,ON,34,ワーク無し異常
23,2023/4/26,15:55:11,951,ON,34,ワーク無し異常
24,2023/4/26,13:12:32,950,ON,34,ワーク無し異常
25,2023/4/25,18:23:48,949,ON,34,ワーク無し異常
26,2023/4/25,18:20:26,948,ON,34,ワーク無し異常
27,2023/4/25,17:09:19,453,ON,4,首下位置不良
28,2023/4/25,13:29:22,947,ON,34,ワーク無し異常
29,2023/4/25,11:58:57,946,ON,34,ワーク無し異常
30,2023/4/25,10:49:18,13,ON,53,首下位置ｾﾝｻｰ異常
31,2023/4/20,10:07:34,188,ON,3,ノッチ前進不良
32,2023/4/20,10:07:15,187,ON,3,ノッチ前進不良
33,2023/4/19,9:07:24,451,ON,4,首下位置不良
34,2023/4/19,9:07:04,969,ON,2,横穴未貫通異常
35,2023/4/19,18:28:50,452,ON,4,首下位置不良
36,2023/4/19,13:54:20,945,ON,34,ワーク無し異常
37,2023/4/19,10:13:04,944,ON,34,ワーク無し異常
38,2023/4/18,9:45:09,450,ON,4,首下位置不良
39,2023/4/18,9:44:57,966,ON,2,横穴未貫通異常
40,2023/4/18,19:26:47,943,ON,34,ワーク無し異常
41,2023/4/18,17:23:35,968,ON,2,横穴未貫通異常
42,2023/4/18,17:23:13,967,ON,2,横穴未貫通異常
43,2023/4/18,17:10:29,186,ON,3,ノッチ前進不良
44,2023/4/18,12:44:57,942,ON,34,ワーク無し異常
45,2023/4/18,12:20:06,256,ON,0,安全クラッチ異常
