ALARM ID,0
DATE,2023/01/04,12:48:37,

No,DATE,TIME,COUNT,STATUS,ALARM No,MESSAGE
0,2022/12/29,16:58:37,609,ON,7,ツール送り(軸2)サーボ異常
1,2022/12/29,16:58:37,609,ON,6,ツール回転(軸1)サーボ異常
2,2022/12/29,16:58:37,585,ON,2,インデックス定位置異常
3,2022/12/29,16:44:57,608,ON,7,ツール送り(軸2)サーボ異常
4,2022/12/29,16:44:57,608,ON,6,ツール回転(軸1)サーボ異常
5,2022/12/29,16:44:57,584,ON,2,インデックス定位置異常
6,2022/12/29,16:03:31,607,ON,7,ツール送り(軸2)サーボ異常
7,2022/12/29,16:03:31,607,ON,6,ツール回転(軸1)サーボ異常
8,2022/12/29,16:03:31,583,ON,2,インデックス定位置異常
9,2022/12/29,14:24:10,606,ON,7,ツール送り(軸2)サーボ異常
10,2022/12/29,14:24:10,606,ON,6,ツール回転(軸1)サーボ異常
11,2022/12/29,14:24:10,582,ON,2,インデックス定位置異常
12,2022/12/29,14:18:32,605,ON,7,ツール送り(軸2)サーボ異常
13,2022/12/29,14:18:32,605,ON,6,ツール回転(軸1)サーボ異常
14,2022/12/29,14:18:32,581,ON,2,インデックス定位置異常
15,2022/12/28,18:23:17,650,ON,12,ワーク無し異常
16,2022/12/26,14:43:34,649,ON,12,ワーク無し異常
17,2022/12/26,09:40:21,648,ON,12,ワーク無し異常
18,2022/12/19,19:28:03,647,ON,12,ワーク無し異常
19,2022/12/16,12:58:09,646,ON,12,ワーク無し異常
20,2022/12/15,17:01:04,645,ON,12,ワーク無し異常
21,2022/12/15,15:34:13,644,ON,12,ワーク無し異常
22,2022/12/15,14:31:31,643,ON,12,ワーク無し異常
23,2022/12/15,09:53:49,642,ON,12,ワーク無し異常
24,2022/12/14,20:09:19,641,ON,12,ワーク無し異常
25,2022/12/14,19:51:40,604,ON,7,ツール送り(軸2)サーボ異常
26,2022/12/14,19:51:40,604,ON,6,ツール回転(軸1)サーボ異常
27,2022/12/14,19:51:40,580,ON,2,インデックス定位置異常
28,2022/12/14,18:55:31,640,ON,12,ワーク無し異常
29,2022/12/14,18:51:59,639,ON,12,ワーク無し異常
30,2022/12/14,18:43:38,638,ON,12,ワーク無し異常
31,2022/12/14,18:30:23,637,ON,12,ワーク無し異常
32,2022/12/14,18:13:52,603,ON,7,ツール送り(軸2)サーボ異常
33,2022/12/14,18:13:52,603,ON,6,ツール回転(軸1)サーボ異常
34,2022/12/14,18:13:52,579,ON,2,インデックス定位置異常
35,2022/12/14,17:37:59,636,ON,12,ワーク無し異常
36,2022/12/14,16:41:23,602,ON,7,ツール送り(軸2)サーボ異常
37,2022/12/14,16:41:23,602,ON,6,ツール回転(軸1)サーボ異常
38,2022/12/14,16:41:23,578,ON,2,インデックス定位置異常
39,2022/12/14,12:23:07,635,ON,12,ワーク無し異常
40,2022/12/14,10:52:57,634,ON,12,ワーク無し異常
41,2022/12/14,10:40:49,633,ON,12,ワーク無し異常
42,2022/12/14,10:37:40,632,ON,12,ワーク無し異常
43,2022/12/14,10:26:16,631,ON,12,ワーク無し異常
44,2022/12/14,10:19:50,630,ON,12,ワーク無し異常
45,2022/12/14,10:16:13,629,ON,12,ワーク無し異常
46,2022/12/14,10:13:17,628,ON,12,ワーク無し異常
47,2022/12/14,10:10:16,601,ON,7,ツール送り(軸2)サーボ異常
48,2022/12/14,10:10:16,601,ON,6,ツール回転(軸1)サーボ異常
49,2022/12/14,10:10:16,577,ON,2,インデックス定位置異常
50,2022/12/14,10:06:18,600,ON,7,ツール送り(軸2)サーボ異常
51,2022/12/14,10:06:18,600,ON,6,ツール回転(軸1)サーボ異常
52,2022/12/14,10:06:18,576,ON,2,インデックス定位置異常
53,2022/12/13,17:56:27,627,ON,12,ワーク無し異常
54,2022/12/13,17:53:39,626,ON,12,ワーク無し異常
55,2022/12/13,16:59:15,599,ON,7,ツール送り(軸2)サーボ異常
56,2022/12/13,16:59:15,599,ON,6,ツール回転(軸1)サーボ異常
57,2022/12/13,16:59:15,575,ON,2,インデックス定位置異常
58,2022/12/13,16:21:24,625,ON,12,ワーク無し異常
59,2022/12/13,16:11:40,624,ON,12,ワーク無し異常
60,2022/12/13,16:08:59,623,ON,12,ワーク無し異常
61,2022/12/13,16:00:45,622,ON,12,ワーク無し異常
62,2022/12/13,15:57:56,621,ON,12,ワーク無し異常
63,2022/12/13,11:06:24,620,ON,12,ワーク無し異常
64,2022/12/10,15:25:31,619,ON,12,ワーク無し異常
65,2022/12/10,14:26:37,13,ON,48,非常停止ボタン検出
66,2022/12/10,14:26:37,598,ON,7,ツール送り(軸2)サーボ異常
67,2022/12/10,14:26:37,598,ON,6,ツール回転(軸1)サーボ異常
68,2022/12/10,13:35:26,618,ON,12,ワーク無し異常
69,2022/12/10,11:15:32,617,ON,12,ワーク無し異常
70,2022/12/10,11:13:32,616,ON,12,ワーク無し異常
71,2022/12/10,11:03:25,615,ON,12,ワーク無し異常
72,2022/12/10,10:19:33,614,ON,12,ワーク無し異常
73,2022/12/10,10:16:22,613,ON,12,ワーク無し異常
74,2022/12/09,17:39:16,597,ON,7,ツール送り(軸2)サーボ異常
